State,Crop,Season,Year,Area,Production,Yield,Average yield
Andaman and Nicobar Islands,Arecanut,Autumn,2008,4147,3060,0.74,2.42
Andaman and Nicobar Islands,Arecanut,Autumn,2009,4153,3120,0.75,2.42
Andaman and Nicobar Islands,Arecanut,Kharif,2000,4354,7200,3.27,4.84
Andaman and Nicobar Islands,Arecanut,Kharif,2001,4354,7300,3.33,4.84
Andaman and Nicobar Islands,Arecanut,Kharif,2007,2439.6,3415.44,1.4,2.42
Andaman and Nicobar Islands,Arecanut,Rabi,2007,1626.4,2276.96,1.4,2.42
Andaman and Nicobar Islands,Arecanut,Rabi,2010,4152,5800,4.47,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2011,4220,5950,4.21,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2012,4225,5975,4.24,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2013,4290.9,9966.4,6.47,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2014,4669.5,9348,5.35,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2015,4623.5,10327.5,5.78,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2016,4619.5,10608,5.83,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2017,3498.3,15283.37,11.51,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2018,4075.69,12389.29,7.75,7.26
Andaman and Nicobar Islands,Arecanut,Rabi,2019,4335.8,10589.2,6.26,7.26
Andaman and Nicobar Islands,Arecanut,Summer,2008,4147,2660,0.64,2.42
Andaman and Nicobar Islands,Arecanut,Summer,2009,4153,2080,0.5,2.42
Andaman and Nicobar Islands,Arecanut,Whole Year,2002,4363,7350,3.36,4.84
Andaman and Nicobar Islands,Arecanut,Whole Year,2003,4379,6707,2.87,4.84
Andaman and Nicobar Islands,Arecanut,Whole Year,2004,4425.37,4781.05,1.9,4.84
Andaman and Nicobar Islands,Arecanut,Whole Year,2005,3250.78,3058.46,0.94,2.42
Andaman and Nicobar Islands,Arecanut,Whole Year,2006,4056,5839.3,4.31,7.26
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2007,24,128.5,5.35,0.88
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2010,315,104,0.95,1.76
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2011,210,63.4,0.3,0.88
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2012,52.5,15,0.29,0.88
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2013,1.5,3.2,3.4,1.76
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2014,14.9,14.2,1.39,1.76
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2015,1,0.5,1,1.76
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2016,6.5,0.3,0.05,0.88
Andaman and Nicobar Islands,Arhar/Tur,Rabi,2017,1.2,0.6,0.5,0.88
Andaman and Nicobar Islands,Arhar/Tur,Summer,2008,131,92,0.7,0.88
Andaman and Nicobar Islands,Arhar/Tur,Summer,2009,331,164,0.5,0.88
Andaman and Nicobar Islands,Banana,Autumn,2008,795,7710,9.7,30
Andaman and Nicobar Islands,Banana,Autumn,2009,798,7435,9.32,30
Andaman and Nicobar Islands,Banana,Kharif,2007,837.95,7450.8,8.89,30
Andaman and Nicobar Islands,Banana,Rabi,2007,685.59,6096.1,8.89,30
Andaman and Nicobar Islands,Banana,Summer,2008,794,7710,9.71,30
Andaman and Nicobar Islands,Banana,Summer,2009,798,7435,9.32,30
Andaman and Nicobar Islands,Banana,Whole Year,2000,1707,12714,11.53,60
Andaman and Nicobar Islands,Banana,Whole Year,2002,1737,12160,13.14,60
Andaman and Nicobar Islands,Banana,Whole Year,2003,1796,13321,14.18,60
Andaman and Nicobar Islands,Banana,Whole Year,2004,1978.518,17778.52,15.17,60
Andaman and Nicobar Islands,Banana,Whole Year,2005,1678.8,10833.13,32.64,60
Andaman and Nicobar Islands,Banana,Whole Year,2006,1638.57,13708,22.48,90
Andaman and Nicobar Islands,Banana,Whole Year,2010,1610,16910,33.23,90
Andaman and Nicobar Islands,Banana,Whole Year,2011,1681,18535,34.46,90
Andaman and Nicobar Islands,Banana,Whole Year,2012,1675,18350,33.6,90
Andaman and Nicobar Islands,Banana,Whole Year,2013,1817.5,14042.3,25.99,90
Andaman and Nicobar Islands,Banana,Whole Year,2014,1841,15962,28.5,90
Andaman and Nicobar Islands,Banana,Whole Year,2015,2015,17650,27.42,90
Andaman and Nicobar Islands,Banana,Whole Year,2016,2136.1,13344.3,22.26,90
Andaman and Nicobar Islands,Banana,Whole Year,2017,1814.85,13612.49,28.11,90
Andaman and Nicobar Islands,Banana,Whole Year,2018,1902.11,16690.12,32.31,90
Andaman and Nicobar Islands,Banana,Whole Year,2019,2036.2,16115.42,31.42,90
Andaman and Nicobar Islands,Black pepper,Autumn,2008,613,25,0.04,1.04
Andaman and Nicobar Islands,Black pepper,Autumn,2009,600,41,0.07,1.04
Andaman and Nicobar Islands,Black pepper,Kharif,2007,366.16,21,0.06,1.04
Andaman and Nicobar Islands,Black pepper,Rabi,2007,244.1,14,0.06,1.04
Andaman and Nicobar Islands,Black pepper,Rabi,2010,600,120,0.69,3.12
Andaman and Nicobar Islands,Black pepper,Rabi,2011,600,31.7,0.13,3.12
Andaman and Nicobar Islands,Black pepper,Rabi,2012,600,130,0.64,3.12
Andaman and Nicobar Islands,Black pepper,Rabi,2013,573.3,76.6,0.44,3.12
Andaman and Nicobar Islands,Black pepper,Rabi,2014,526,85,0.54,3.12
Andaman and Nicobar Islands,Black pepper,Rabi,2015,380.5,53.5,0.4,3.12
Andaman and Nicobar Islands,Black pepper,Rabi,2016,297.3,52.81,0.37,3.12
Andaman and Nicobar Islands,Black pepper,Rabi,2017,90.62,352.27,5.3,3.12
Andaman and Nicobar Islands,Black pepper,Rabi,2018,90.44,7.59,0.37,3.12
Andaman and Nicobar Islands,Black pepper,Rabi,2019,89.22,21.01,0.56,3.12
Andaman and Nicobar Islands,Black pepper,Summer,2008,613,11,0.02,1.04
Andaman and Nicobar Islands,Black pepper,Summer,2009,600,17,0.03,1.04
Andaman and Nicobar Islands,Black pepper,Whole Year,2002,550,116,0.42,2.08
Andaman and Nicobar Islands,Black pepper,Whole Year,2003,572.5,120.23,0.42,2.08
Andaman and Nicobar Islands,Black pepper,Whole Year,2004,655,120.22,0.37,2.08
Andaman and Nicobar Islands,Black pepper,Whole Year,2005,697.45,36.05,0.05,2.08
Andaman and Nicobar Islands,Black pepper,Whole Year,2006,610.26,212,1.17,3.12
Andaman and Nicobar Islands,Cashewnut,Rabi,2010,1100,310,1.42,21
Andaman and Nicobar Islands,Cashewnut,Rabi,2011,1200,351.1,1.39,21
Andaman and Nicobar Islands,Cashewnut,Rabi,2012,1200,377.7,1.33,21
Andaman and Nicobar Islands,Cashewnut,Rabi,2013,1197.6,378.9,1.45,21
Andaman and Nicobar Islands,Cashewnut,Rabi,2014,1133,333,1.91,21
Andaman and Nicobar Islands,Cashewnut,Rabi,2015,1053,281,1.74,21
Andaman and Nicobar Islands,Cashewnut,Rabi,2016,449,42.93,1.32,21
Andaman and Nicobar Islands,Cashewnut,Rabi,2017,38.7,43.67,2.84,21
Andaman and Nicobar Islands,Cashewnut,Rabi,2018,42.06,43.81,3.55,21
Andaman and Nicobar Islands,Cashewnut,Rabi,2019,50.06,42.07,2.37,21
Andaman and Nicobar Islands,Cashewnut,Whole Year,2000,800,219,0.91,14
Andaman and Nicobar Islands,Cashewnut,Whole Year,2001,800,225,0.68,14
Andaman and Nicobar Islands,Cashewnut,Whole Year,2002,800,232,0.59,14
Andaman and Nicobar Islands,Cashewnut,Whole Year,2003,833.5,234.64,0.51,14
Andaman and Nicobar Islands,Cashewnut,Whole Year,2004,800,223,0.51,14
Andaman and Nicobar Islands,Cashewnut,Whole Year,2005,568.5,86.02,0.38,14
Andaman and Nicobar Islands,Cashewnut,Whole Year,2006,570,155.13,1.61,21
Andaman and Nicobar Islands,Coconut,Whole Year,2000,25160,132835.8209,10.45,17886.48
Andaman and Nicobar Islands,Coconut,Whole Year,2001,25205,133850.7463,10.66,17886.48
Andaman and Nicobar Islands,Coconut,Whole Year,2002,25300,140776.1194,11.19,17886.48
Andaman and Nicobar Islands,Coconut,Whole Year,2003,25394.74,142149.2538,11.2,17886.48
Andaman and Nicobar Islands,Coconut,Whole Year,2004,25551.4,130044.7761,11.5,17886.48
Andaman and Nicobar Islands,Coconut,Whole Year,2005,20927.02,117104.4776,11.2,17886.48
Andaman and Nicobar Islands,Coconut,Whole Year,2006,21416.09,132776.1194,18.68,26829.72
Andaman and Nicobar Islands,Coconut,Whole Year,2007,21636,120358.209,5.56,8943.24
Andaman and Nicobar Islands,Coconut,Whole Year,2008,43380,122238.806,2.82,8943.24
Andaman and Nicobar Islands,Coconut,Whole Year,2009,43520,126820.8955,2.91,8943.24
Andaman and Nicobar Islands,Coconut,Whole Year,2010,21768,141791.0447,17.12,26829.72
Andaman and Nicobar Islands,Coconut,Whole Year,2011,21800,156716.4179,21.78,26829.72
Andaman and Nicobar Islands,Coconut,Whole Year,2012,21875,186716.4179,23.74,26829.72
Andaman and Nicobar Islands,Coconut,Whole Year,2013,21900,192537.3135,23.31,26829.72
Andaman and Nicobar Islands,Coconut,Whole Year,2014,21910,193731.3433,23.93,26829.72
Andaman and Nicobar Islands,Coconut,Whole Year,2015,21915,196417.9104,24.9,26829.72
Andaman and Nicobar Islands,Coconut,Whole Year,2016,22079,198507.4627,24.84,26829.72
Andaman and Nicobar Islands,Coconut,Whole Year,2017,16274.8,186238.806,41.92,26829.72
Andaman and Nicobar Islands,Coconut,Whole Year,2018,18148.63,143552.2388,25.35,26829.72
Andaman and Nicobar Islands,Coconut,Whole Year,2019,20070.48,167985.0746,24.29,26829.72
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2011,375,1929.3,15,2.19
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2012,390,2100,16.92,2.19
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2013,587,3129.6,14.09,2.19
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2014,588.9,2441.2,11.65,2.19
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2015,571,3363.5,11.84,2.19
Andaman and Nicobar Islands,Dry Ginger,Rabi,2007,204.93,1844.33,9,8.05
Andaman and Nicobar Islands,Dry Ginger,Summer,2008,199,1524,7.66,8.05
Andaman and Nicobar Islands,Dry Ginger,Summer,2009,210,1575,7.5,8.05
Andaman and Nicobar Islands,Dry chillies,Kharif,2007,218.2,410.3,1.88,1.58
Andaman and Nicobar Islands,Dry chillies,Rabi,2007,145.12,273.54,1.88,1.58
Andaman and Nicobar Islands,Dry chillies,Rabi,2010,394,575,4.82,4.74
Andaman and Nicobar Islands,Dry chillies,Rabi,2011,385,580,4.5,4.74
Andaman and Nicobar Islands,Dry chillies,Rabi,2012,397,605,4.24,4.74
Andaman and Nicobar Islands,Dry chillies,Rabi,2013,329.5,641.3,5.12,4.74
Andaman and Nicobar Islands,Dry chillies,Rabi,2014,310.6,974.1,7.49,4.74
Andaman and Nicobar Islands,Dry chillies,Rabi,2015,223.6,1032.5,9.04,4.74
Andaman and Nicobar Islands,Dry chillies,Rabi,2016,148.47,1473.83,27.65,4.74
Andaman and Nicobar Islands,Dry chillies,Rabi,2017,65.23,911.37,25.11,4.74
Andaman and Nicobar Islands,Dry chillies,Rabi,2018,205.55,780.99,11.84,4.74
Andaman and Nicobar Islands,Dry chillies,Rabi,2019,73.09,313.43,11.96,4.74
Andaman and Nicobar Islands,Dry chillies,Summer,2008,382,559,1.46,1.58
Andaman and Nicobar Islands,Dry chillies,Summer,2009,393,574,1.46,1.58
Andaman and Nicobar Islands,Dry chillies,Whole Year,2002,652,49.7,0.16,3.16
Andaman and Nicobar Islands,Dry chillies,Whole Year,2003,400,680,3.4,3.16
Andaman and Nicobar Islands,Dry chillies,Whole Year,2004,400,968,4.84,3.16
Andaman and Nicobar Islands,Dry chillies,Whole Year,2005,370.7,877.6,2.37,1.58
Andaman and Nicobar Islands,Dry chillies,Whole Year,2006,363.32,868,6.78,4.74
Andaman and Nicobar Islands,Ginger,Rabi,2010,211,1850,19.39,20.52
Andaman and Nicobar Islands,Ginger,Rabi,2011,210,1855,19.65,20.52
Andaman and Nicobar Islands,Ginger,Rabi,2012,215,1910,23.88,20.52
Andaman and Nicobar Islands,Ginger,Rabi,2013,187,1417.6,18.11,20.52
Andaman and Nicobar Islands,Ginger,Rabi,2014,150.5,1420.5,21.92,20.52
Andaman and Nicobar Islands,Ginger,Rabi,2015,158.5,1822.5,22.57,20.52
Andaman and Nicobar Islands,Ginger,Rabi,2016,169.78,1863.31,26.24,20.52
Andaman and Nicobar Islands,Ginger,Rabi,2017,153.74,1821.06,22.17,20.52
Andaman and Nicobar Islands,Ginger,Rabi,2018,125.91,637.19,16.2,20.52
Andaman and Nicobar Islands,Ginger,Rabi,2019,121.6,607.21,21.68,20.52
Andaman and Nicobar Islands,Ginger,Whole Year,2000,388,1220,5.96,13.68
Andaman and Nicobar Islands,Ginger,Whole Year,2001,390,1224,5.44,13.68
Andaman and Nicobar Islands,Ginger,Whole Year,2002,399.3,1278,6.06,13.68
Andaman and Nicobar Islands,Ginger,Whole Year,2003,508,1625.6,6.4,13.68
Andaman and Nicobar Islands,Ginger,Whole Year,2004,528,1828,6.67,13.68
Andaman and Nicobar Islands,Ginger,Whole Year,2005,200,1800,9,6.84
Andaman and Nicobar Islands,Ginger,Whole Year,2006,205.56,1850,21.84,20.52
Andaman and Nicobar Islands,Groundnut,Rabi,2007,32.5,28.12,0.87,1.32
Andaman and Nicobar Islands,Groundnut,Rabi,2010,20.25,14.4,1.92,2.64
Andaman and Nicobar Islands,Groundnut,Rabi,2011,20.3,16,1.79,2.64
Andaman and Nicobar Islands,Groundnut,Rabi,2012,30,27,1.76,2.64
Andaman and Nicobar Islands,Groundnut,Rabi,2013,1.7,1.4,1.75,2.64
Andaman and Nicobar Islands,Groundnut,Rabi,2014,4.5,3,1.32,2.64
Andaman and Nicobar Islands,Groundnut,Rabi,2015,1.2,0.6,0.5,1.32
Andaman and Nicobar Islands,Groundnut,Rabi,2016,0.5,0.75,1.5,1.32
Andaman and Nicobar Islands,Groundnut,Rabi,2018,2,1.2,0.6,1.32
Andaman and Nicobar Islands,Groundnut,Rabi,2019,3,1.7,0.57,1.32
Andaman and Nicobar Islands,Groundnut,Summer,2008,30,16,0.53,1.32
Andaman and Nicobar Islands,Groundnut,Summer,2009,13,16,1.23,1.32
Andaman and Nicobar Islands,Maize,Rabi,2007,230.81,879.36,3.81,2.68
Andaman and Nicobar Islands,Maize,Rabi,2010,163.54,367.62,9.32,8.04
Andaman and Nicobar Islands,Maize,Rabi,2011,162.5,340.2,5.16,8.04
Andaman and Nicobar Islands,Maize,Rabi,2012,115.5,215.2,4.07,5.36
Andaman and Nicobar Islands,Maize,Rabi,2013,130.1,292.7,5.35,8.04
Andaman and Nicobar Islands,Maize,Rabi,2014,167.1,603,15.92,8.04
Andaman and Nicobar Islands,Maize,Rabi,2015,120.5,352,6.72,8.04
Andaman and Nicobar Islands,Maize,Rabi,2016,103.5,216.32,4.2,5.36
Andaman and Nicobar Islands,Maize,Rabi,2017,43.62,37.58,2.11,5.36
Andaman and Nicobar Islands,Maize,Rabi,2018,32.43,48.96,3.27,5.36
Andaman and Nicobar Islands,Maize,Rabi,2019,20.59,57,5.35,5.36
Andaman and Nicobar Islands,Maize,Summer,2008,239,641,2.68,2.68
Andaman and Nicobar Islands,Maize,Summer,2009,163,405,2.48,2.68
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2007,740.93,449.91,0.61,0.5
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2010,1200,575.5,1.81,1.5
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2011,850.4,505.9,1.12,1
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2012,583.5,275.9,0.89,1
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2013,319.2,138.9,0.97,1
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2014,910,455.5,3.05,1.5
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2015,892.5,545.1,2.93,1.5
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2016,765.9,222.75,0.88,1.5
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2017,194,60.55,0.91,1
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2018,99.8,20.96,0.21,0.5
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,2019,363.52,217.15,1.13,1
Andaman and Nicobar Islands,Moong(Green Gram),Summer,2008,813,422,0.52,0.5
Andaman and Nicobar Islands,Moong(Green Gram),Summer,2009,1380,890,0.64,0.5
Andaman and Nicobar Islands,Oilseeds total,Whole Year,2011,91.5,46.5,0.94,2.98
Andaman and Nicobar Islands,Oilseeds total,Whole Year,2012,108.8,51.9,1.83,2.98
Andaman and Nicobar Islands,Oilseeds total,Whole Year,2013,40.4,14.23,1.11,2.98
Andaman and Nicobar Islands,Oilseeds total,Whole Year,2014,36,15,1.15,2.98
Andaman and Nicobar Islands,Other Kharif pulses,Kharif,2000,670,449,1.17,1.16
Andaman and Nicobar Islands,Other Kharif pulses,Kharif,2001,420,200,0.98,1.16
Andaman and Nicobar Islands,Rapeseed &Mustard,Rabi,2007,19,8.57,0.45,0.83
Andaman and Nicobar Islands,Rapeseed &Mustard,Rabi,2011,21.3,5.5,0.49,1.66
Andaman and Nicobar Islands,Rapeseed &Mustard,Rabi,2012,18.3,5,0.27,0.83
Andaman and Nicobar Islands,Rapeseed &Mustard,Rabi,2013,9.2,6.5,0.71,0.83
Andaman and Nicobar Islands,Rapeseed &Mustard,Rabi,2014,8.5,4.7,2.03,1.66
Andaman and Nicobar Islands,Rapeseed &Mustard,Rabi,2015,5.3,1.4,1.04,1.66
Andaman and Nicobar Islands,Rapeseed &Mustard,Rabi,2016,4.5,1.16,0.87,1.66
Andaman and Nicobar Islands,Rapeseed &Mustard,Rabi,2017,0.11,0.26,2.36,0.83
Andaman and Nicobar Islands,Rapeseed &Mustard,Rabi,2018,0.3,1.2,4,0.83
Andaman and Nicobar Islands,Rapeseed &Mustard,Summer,2008,11,6,0.55,0.83
Andaman and Nicobar Islands,Rapeseed &Mustard,Summer,2009,31,11,0.35,0.83
Andaman and Nicobar Islands,Rice,Autumn,2008,7900,14730,1.86,2.1
Andaman and Nicobar Islands,Rice,Autumn,2009,8140,16600,2.04,2.1
Andaman and Nicobar Islands,Rice,Autumn,2010,8390,23916,8.19,6.3
Andaman and Nicobar Islands,Rice,Autumn,2011,8100,15984,5.92,6.3
Andaman and Nicobar Islands,Rice,Autumn,2012,7850,14333.4,4.21,6.3
Andaman and Nicobar Islands,Rice,Autumn,2013,8005.2,16245.5,6.89,6.3
Andaman and Nicobar Islands,Rice,Autumn,2014,6434.6,13119.3,6.14,6.3
Andaman and Nicobar Islands,Rice,Autumn,2015,6100,13678,6.52,6.3
Andaman and Nicobar Islands,Rice,Autumn,2016,4876.47,12593.72,6.72,6.3
Andaman and Nicobar Islands,Rice,Autumn,2017,5340.55,11230.14,4.72,6.3
Andaman and Nicobar Islands,Rice,Autumn,2018,5391.11,11440.36,5.9,6.3
Andaman and Nicobar Islands,Rice,Autumn,2019,5701.12,17981.25,7.59,6.3
Andaman and Nicobar Islands,Rice,Kharif,2000,10881,32184,6.11,4.2
Andaman and Nicobar Islands,Rice,Kharif,2001,9801,27333,6.39,4.2
Andaman and Nicobar Islands,Rice,Kharif,2002,10885,32111.66,5.65,4.2
Andaman and Nicobar Islands,Rice,Kharif,2003,10561.37,30850.868,4.66,4.2
Andaman and Nicobar Islands,Rice,Kharif,2004,10734.92,29192.23,4.1,4.2
Andaman and Nicobar Islands,Rice,Kharif,2005,8685.47,25883.04,8.75,4.2
Andaman and Nicobar Islands,Rice,Kharif,2006,7776.17,21535.26,5.52,4.2
Andaman and Nicobar Islands,Rice,Kharif,2007,7333.75,21864.4,2.98,2.1
Andaman and Nicobar Islands,Safflower,Summer,2009,2,1,0.5,0.55
Andaman and Nicobar Islands,Sesamum,Rabi,2007,32.6,31.91,0.98,0.51
Andaman and Nicobar Islands,Sesamum,Rabi,2016,4,1.05,0.26,0.51
Andaman and Nicobar Islands,Sesamum,Rabi,2017,0.23,0.27,1.17,0.51
Andaman and Nicobar Islands,Sesamum,Rabi,2018,1.2,0.3,0.25,0.51
Andaman and Nicobar Islands,Sesamum,Rabi,2019,0.5,0.3,0.6,0.51
Andaman and Nicobar Islands,Sesamum,Summer,2008,49,30,0.61,0.51
Andaman and Nicobar Islands,Sesamum,Summer,2009,64,40,0.62,0.51
Andaman and Nicobar Islands,Sesamum,Summer,2011,50,25,1.02,1.02
Andaman and Nicobar Islands,Sesamum,Summer,2012,60.5,19.9,0.33,0.51
Andaman and Nicobar Islands,Sesamum,Summer,2013,29.5,6.3,0.21,0.51
Andaman and Nicobar Islands,Sesamum,Summer,2014,23,7.3,0.32,0.51
Andaman and Nicobar Islands,Sesamum,Summer,2015,35,6.7,0.19,0.51
Andaman and Nicobar Islands,Sugarcane,Autumn,2008,117,2260,19.32,55.97
Andaman and Nicobar Islands,Sugarcane,Autumn,2009,113,1610,14.25,55.97
Andaman and Nicobar Islands,Sugarcane,Autumn,2010,154.23,1332.95,21.21,167.91
Andaman and Nicobar Islands,Sugarcane,Autumn,2011,171.3,2464.5,29.44,167.91
Andaman and Nicobar Islands,Sugarcane,Autumn,2012,274.5,5883.4,43.12,167.91
Andaman and Nicobar Islands,Sugarcane,Autumn,2013,269.5,7136,93.15,167.91
Andaman and Nicobar Islands,Sugarcane,Autumn,2014,190,3955,61.82,167.91
Andaman and Nicobar Islands,Sugarcane,Autumn,2015,109.3,2350,46.63,167.91
Andaman and Nicobar Islands,Sugarcane,Autumn,2016,121.33,1543.64,30.1,167.91
Andaman and Nicobar Islands,Sugarcane,Autumn,2017,110.52,388.7,9.24,167.91
Andaman and Nicobar Islands,Sugarcane,Autumn,2018,116.38,656.68,21.47,167.91
Andaman and Nicobar Islands,Sugarcane,Autumn,2019,88.46,829.64,27.18,167.91
Andaman and Nicobar Islands,Sugarcane,Kharif,2007,106.5,2129,19.99,55.97
Andaman and Nicobar Islands,Sugarcane,Rabi,2007,70.93,1419,20.01,55.97
Andaman and Nicobar Islands,Sugarcane,Summer,2008,39,760,19.49,55.97
Andaman and Nicobar Islands,Sugarcane,Summer,2009,28,397,14.18,55.97
Andaman and Nicobar Islands,Sugarcane,Whole Year,2000,142,3738,28.5,111.94
Andaman and Nicobar Islands,Sugarcane,Whole Year,2001,82,2380,30.37,111.94
Andaman and Nicobar Islands,Sugarcane,Whole Year,2002,460,13800,38.24,111.94
Andaman and Nicobar Islands,Sugarcane,Whole Year,2003,268,2879.52,10.74,55.97
Andaman and Nicobar Islands,Sugarcane,Whole Year,2004,145.26,1560,10.74,55.97
Andaman and Nicobar Islands,Sugarcane,Whole Year,2005,128.02,2448.2,19.12,55.97
Andaman and Nicobar Islands,Sugarcane,Whole Year,2006,125,2500,42.22,167.91
Andaman and Nicobar Islands,Sunflower,Rabi,2007,3.83,3.66,0.96,0.97
Andaman and Nicobar Islands,Sunflower,Rabi,2010,3.9,2.4,1.16,1.94
Andaman and Nicobar Islands,Sunflower,Rabi,2015,0.5,0.2,0.4,0.97
Andaman and Nicobar Islands,Sunflower,Rabi,2016,0.5,0.4,0.8,0.97
Andaman and Nicobar Islands,Sunflower,Rabi,2018,0.2,0.6,3,0.97
Andaman and Nicobar Islands,Sunflower,Summer,2008,12,13,1.08,0.97
Andaman and Nicobar Islands,Sweet potato,Autumn,2009,65,360,5.54,9.42
Andaman and Nicobar Islands,Sweet potato,Rabi,2007,120.13,708.23,5.9,9.42
Andaman and Nicobar Islands,Sweet potato,Rabi,2010,163,923,21.19,28.26
Andaman and Nicobar Islands,Sweet potato,Rabi,2011,150,845,21.56,28.26
Andaman and Nicobar Islands,Sweet potato,Rabi,2012,145,850,17.58,28.26
Andaman and Nicobar Islands,Sweet potato,Rabi,2013,168.4,2693.2,38.49,28.26
Andaman and Nicobar Islands,Sweet potato,Rabi,2014,149,2662,46.83,28.26
Andaman and Nicobar Islands,Sweet potato,Rabi,2015,83.5,760,27.22,28.26
Andaman and Nicobar Islands,Sweet potato,Rabi,2016,67,853,35.99,28.26
Andaman and Nicobar Islands,Sweet potato,Rabi,2017,44.66,1340.73,155.94,28.26
Andaman and Nicobar Islands,Sweet potato,Rabi,2018,34.01,481.53,70.01,28.26
Andaman and Nicobar Islands,Sweet potato,Rabi,2019,41.3,649.54,83.79,28.26
Andaman and Nicobar Islands,Sweet potato,Summer,2008,119,711,5.97,9.42
Andaman and Nicobar Islands,Sweet potato,Summer,2009,97,552,5.69,9.42
Andaman and Nicobar Islands,Sweet potato,Whole Year,2000,83,858,13.81,18.84
Andaman and Nicobar Islands,Sweet potato,Whole Year,2001,111,38,3.05,18.84
Andaman and Nicobar Islands,Sweet potato,Whole Year,2005,131.9,700.35,5.31,9.42
Andaman and Nicobar Islands,Sweet potato,Whole Year,2006,78.4,546,20.02,28.26
Andaman and Nicobar Islands,Tapioca,Autumn,2009,108,848,7.85,18.94
Andaman and Nicobar Islands,Tapioca,Rabi,2007,225.95,1346.78,5.96,18.94
Andaman and Nicobar Islands,Tapioca,Summer,2008,221,2113,9.56,18.94
Andaman and Nicobar Islands,Tapioca,Summer,2009,162,1272,7.85,18.94
Andaman and Nicobar Islands,Tapioca,Whole Year,2000,200,2277,17.4,37.88
Andaman and Nicobar Islands,Tapioca,Whole Year,2005,254.5,1480,5.82,18.94
Andaman and Nicobar Islands,Tapioca,Whole Year,2006,347.03,2030,18.22,56.82
Andaman and Nicobar Islands,Tapioca,Whole Year,2010,278,2150,25.38,56.82
Andaman and Nicobar Islands,Tapioca,Whole Year,2011,265,2045.5,28.28,56.82
Andaman and Nicobar Islands,Tapioca,Whole Year,2012,270,2120,24.13,56.82
Andaman and Nicobar Islands,Tapioca,Whole Year,2013,239.2,4246.6,44.49,56.82
Andaman and Nicobar Islands,Tapioca,Whole Year,2014,212.3,3265,47.35,56.82
Andaman and Nicobar Islands,Tapioca,Whole Year,2015,107.5,2070,63.67,56.82
Andaman and Nicobar Islands,Tapioca,Whole Year,2016,133,2069,66.85,56.82
Andaman and Nicobar Islands,Tapioca,Whole Year,2017,113.2,1355.54,35.8,56.82
Andaman and Nicobar Islands,Tapioca,Whole Year,2018,90.18,1325.58,69.56,56.82
Andaman and Nicobar Islands,Tapioca,Whole Year,2019,102.48,1161.05,53.74,56.82
Andaman and Nicobar Islands,Turmeric,Rabi,2007,80.5,474.15,5.89,3.93
Andaman and Nicobar Islands,Turmeric,Rabi,2010,80,482,16.29,11.79
Andaman and Nicobar Islands,Turmeric,Rabi,2011,80.1,485.1,16.97,11.79
Andaman and Nicobar Islands,Turmeric,Rabi,2012,78,470,18.11,11.79
Andaman and Nicobar Islands,Turmeric,Rabi,2013,80.5,575.71,9.77,7.86
Andaman and Nicobar Islands,Turmeric,Rabi,2014,112.6,892.7,16.62,7.86
Andaman and Nicobar Islands,Turmeric,Rabi,2015,108.5,1024,16.7,7.86
Andaman and Nicobar Islands,Turmeric,Rabi,2016,113.51,1325.16,33.45,11.79
Andaman and Nicobar Islands,Turmeric,Rabi,2017,102.55,906.01,21.58,11.79
Andaman and Nicobar Islands,Turmeric,Rabi,2018,71.31,313.38,11.46,11.79
Andaman and Nicobar Islands,Turmeric,Rabi,2019,71.19,204.4,9.49,11.79
Andaman and Nicobar Islands,Turmeric,Summer,2008,82,381,4.65,3.93
